model,year,price,transmission,mileage,mpg,engine
 3 Series,2017,17000,Semi-Auto,22639,48.7,2
 2 Series,2018,19995,Semi-Auto,26101,60.1,2
 M4,2018,55991,Semi-Auto,4000,33.6,3
 X5,2019,59000,Semi-Auto,3276,33.6,3
 4 Series,2019,29000,Semi-Auto,2963,60.1,2
 8 Series,2019,54991,Semi-Auto,8966,33.6,3
 4 Series,2018,27000,Semi-Auto,14519,50.4,3
 M2,2019,37990,Semi-Auto,19548,29.1,3
 1 Series,2016,11499,Manual,25000,70.6,1.5
 4 Series,2015,17495,Semi-Auto,12836,65.7,2
 X5,2016,26995,Automatic,46126,47.1,3
 2 Series,2018,17495,Automatic,10526,40.9,1.5
 X3,2016,20991,Semi-Auto,28737,54.3,2
 5 Series,2015,15990,Semi-Auto,17324,62.8,2
 3 Series,2018,21380,Semi-Auto,6641,48.7,2
 2 Series,2019,19950,Semi-Auto,8973,49.6,2
 X3,2017,27980,Semi-Auto,14130,48.7,3
 4 Series,2016,17580,Semi-Auto,29387,44.8,2
 1 Series,2017,15490,Semi-Auto,57796,67.3,2
 1 Series,2017,15280,Manual,10191,68.9,2
 7 Series,2019,38980,Semi-Auto,11126,58.9,3
 X2,2019,26950,Semi-Auto,7989,39.2,2
 M4,2019,45940,Semi-Auto,3447,34,3
 1 Series,2018,17280,Semi-Auto,20033,67.3,2
 X2,2019,22000,Manual,4931,41.5,1.5
 2 Series,2019,24590,Semi-Auto,3300,48.7,2
 5 Series,2019,28810,Semi-Auto,5211,65.7,2
 3 Series,2019,25000,Semi-Auto,3932,62.8,2
 2 Series,2020,28655,Manual,3297,52.3,1.5
 X2,2020,34360,Semi-Auto,835,38.7,2
 X1,2020,35040,Semi-Auto,562,60.1,2
 3 Series,2013,12480,Semi-Auto,37603,62.8,2
 2 Series,2019,18480,Semi-Auto,5356,42.2,1.5
 3 Series,2019,23980,Manual,2926,56.5,2
 1 Series,2017,13680,Manual,24780,53.3,1.5
 X3,2014,19640,Semi-Auto,80078,47.1,3
 2 Series,2018,18791,Semi-Auto,11984,48.7,2
 i8,2019,64750,Automatic,2277,141.2,1.5
 1 Series,2019,22940,Semi-Auto,1320,40.4,1.5
 4 Series,2019,24970,Semi-Auto,4415,45.6,2
 1 Series,2019,19250,Semi-Auto,6173,67.3,2
 Z4,2019,38850,Semi-Auto,1561,33.2,3
 X2,2019,26940,Semi-Auto,6055,58.9,2
 X2,2018,23000,Semi-Auto,10342,39.2,2
 1 Series,2017,16995,Automatic,13552,68.9,1.5
 1 Series,2016,11980,Manual,49629,53.3,1.5
 3 Series,2019,27940,Semi-Auto,4916,45.6,2
 1 Series,2019,18440,Semi-Auto,7561,47.9,1.5
 5 Series,2020,26450,Semi-Auto,25,65.7,2
 X1,2019,25980,Semi-Auto,8083,60.1,2
 4 Series,2019,28970,Semi-Auto,11075,50.4,3
 5 Series,2019,28380,Semi-Auto,6,65.7,2
 3 Series,2019,25940,Semi-Auto,7726,53.3,2
 X2,2019,29980,Semi-Auto,9882,34,2
 3 Series,2017,17490,Semi-Auto,29009,64.2,2
 X5,2014,24480,Automatic,66088,47.1,3
 3 Series,2018,17290,Semi-Auto,8988,68.9,2
 3 Series,2018,24280,Semi-Auto,20606,46.3,2
 2 Series,2017,15480,Manual,23430,55.4,1.5
 X2,2019,26940,Semi-Auto,6659,58.9,2
 5 Series,2019,27750,Semi-Auto,500,49.6,2
 5 Series,2019,24980,Semi-Auto,5196,65.7,2
 X3,2019,31940,Semi-Auto,4238,30.4,2
 3 Series,2020,28980,Semi-Auto,892,42.2,2
 X3,2020,34440,Semi-Auto,105,54.3,2
 X2,2020,26850,Semi-Auto,105,50.4,2
 3 Series,2019,32940,Semi-Auto,7258,49.6,2
 3 Series,2015,17990,Semi-Auto,31835,56.5,3
 1 Series,2017,19680,Semi-Auto,15385,61.4,2
 5 Series,2015,21857,Semi-Auto,44183,49.6,3
 5 Series,2017,28920,Semi-Auto,22158,51.4,3
 X5,2019,46991,Semi-Auto,7260,37.7,3
 X5,2019,46991,Semi-Auto,8778,37.7,3
 1 Series,2019,29980,Semi-Auto,5369,34.5,2
 2 Series,2018,18890,Semi-Auto,13472,50.4,1.5
 2 Series,2016,13998,Manual,18807,74.3,1.5
 2 Series,2018,16998,Semi-Auto,9511,50.4,2
 X5,2019,47440,Semi-Auto,9415,37.7,3
 3 Series,2019,30650,Automatic,7491,41.5,2
 X3,2019,34440,Semi-Auto,105,54.3,2
 3 Series,2013,10010,Semi-Auto,58916,65.7,2
 3 Series,2014,11471,Manual,24904,44.8,2
 1 Series,2017,21498,Manual,16273,36.2,3
 3 Series,2017,13298,Semi-Auto,60406,74.3,2
 3 Series,2017,13298,Semi-Auto,75418,74.3,2
 1 Series,2017,19798,Semi-Auto,35403,39.8,3
 X1,2017,20260,Semi-Auto,21320,57.6,2
 3 Series,2014,12080,Automatic,76587,57.6,3
 2 Series,2018,16570,Manual,16404,64.2,2
 3 Series,2015,8691,Manual,73017,68.9,2
 X7,2019,69940,Automatic,2689,33.6,3
 4 Series,2019,25850,Semi-Auto,101,48.7,2
 1 Series,2019,16380,Manual,5997,53.3,1.5
 4 Series,2015,17980,Manual,38500,34.9,3
 2 Series,2019,21880,Semi-Auto,1853,40.9,1.5
 2 Series,2019,21980,Semi-Auto,6093,50.4,2
 1 Series,2019,19940,Semi-Auto,2635,54.3,1.5
 3 Series,2013,9991,Semi-Auto,58974,62.8,2
 X1,2016,18995,Automatic,14496,57.6,2
 1 Series,2019,17480,Manual,15953,52.3,1.5
 5 Series,2017,30950,Semi-Auto,20564,37.7,3
 4 Series,2017,19440,Semi-Auto,19025,60.1,2
 1 Series,2019,22940,Manual,5170,41.5,1.5
 X5,2017,28980,Automatic,24749,50.4,2
 3 Series,2018,16980,Semi-Auto,31500,74.3,2
 3 Series,2019,25995,Semi-Auto,9913,57.7,2
 3 Series,2019,26995,Semi-Auto,9698,53.3,2
 5 Series,2019,34995,Semi-Auto,6523,56.5,3
 2 Series,2019,27995,Automatic,1501,113,1.5
 4 Series,2019,28995,Semi-Auto,10000,65.7,2
 X3,2019,37995,Semi-Auto,20467,36.7,3
 5 Series,2018,29995,Semi-Auto,28399,39.2,3
 2 Series,2018,24995,Semi-Auto,12793,39.8,3
 Z4,2019,35995,Semi-Auto,1501,37.2,2
 5 Series,2014,14995,Semi-Auto,42749,55.4,2
 X1,2019,25995,Semi-Auto,5200,46.3,1.5
 5 Series,2019,39995,Semi-Auto,1501,39.2,3
 X5,2019,49995,Semi-Auto,1972,37.7,3
 X6,2019,56995,Semi-Auto,2055,34.9,3
 X5,2019,49995,Semi-Auto,4552,37.7,3
 2 Series,2019,21995,Manual,11,42.2,1.5
 X5,2019,47995,Semi-Auto,12488,27.2,3
 X3,2019,32995,Semi-Auto,1107,30.4,2
 1 Series,2017,21995,Semi-Auto,12729,39.8,3
 3 Series,2014,16495,Semi-Auto,27092,58.9,2
 5 Series,2017,23495,Semi-Auto,25544,65.7,2
 3 Series,2019,28495,Semi-Auto,11,42.2,2
 4 Series,2019,29995,Semi-Auto,11,65.7,2
 X1,2019,25995,Manual,11,36.7,2
 X3,2019,31995,Semi-Auto,11,31.4,2
 3 Series,2018,19495,Semi-Auto,12849,64.2,2
 4 Series,2019,29995,Semi-Auto,10,48.7,2
 4 Series,2019,29995,Semi-Auto,6592,52.3,3
 X1,2014,9530,Manual,47262,51.4,2
 3 Series,2015,14107,Manual,30140,64.2,2
 3 Series,2015,11057,Manual,58696,61.4,2
 2 Series,2018,14157,Automatic,29590,53.3,1.5
 1 Series,2014,9650,Manual,54314,64.2,2
 X1,2016,17900,Semi-Auto,34382,57.6,2
 4 Series,2018,19500,Semi-Auto,13368,48.7,2
 X1,2014,10298,Manual,58630,51.4,2
 X1,2016,18498,Semi-Auto,24952,55.4,2
 1 Series,2016,18698,Manual,18743,36.2,3
 1 Series,2017,19995,Manual,25645,36.2,3
 X5,2019,49995,Semi-Auto,3724,37.7,3
 2 Series,2019,20995,Manual,1501,44.1,1.5
 X1,2016,17498,Semi-Auto,26344,55.4,2
 5 Series,2013,15998,Semi-Auto,51063,47.9,3
 3 Series,2019,29498,Semi-Auto,7751,41.5,2
 1 Series,2014,14998,Semi-Auto,43525,37.7,3
 3 Series,2020,35995,Semi-Auto,11,47.9,3
 5 Series,2020,32995,Semi-Auto,11,49.6,2
 3 Series,2020,33995,Semi-Auto,11,50.4,2
 3 Series,2019,27995,Semi-Auto,1501,43.5,2
 X1,2019,28995,Semi-Auto,1501,48.7,2
 X3,2019,34995,Semi-Auto,9719,30.4,2
 2 Series,2017,15995,Semi-Auto,26652,68.9,2
 X2,2019,36995,Semi-Auto,3091,34,2
 3 Series,2019,29995,Semi-Auto,1928,42.2,2
 X3,2019,31995,Semi-Auto,2498,30.4,2
 4 Series,2019,22498,Semi-Auto,17886,65.7,2
 X1,2017,15401,Manual,20779,68.9,2
 1 Series,2016,14417,Automatic,22998,65.7,2
 4 Series,2017,17920,Manual,22956,62.8,2
 3 Series,2018,16498,Semi-Auto,33546,67.3,2
 2 Series,2017,15498,Manual,16134,74.3,1.5
 1 Series,2019,25995,Semi-Auto,10572,39.8,3
 X7,2019,69995,Semi-Auto,4997,31.4,3
 5 Series,2019,39995,Semi-Auto,4242,51.4,3
 3 Series,2020,34495,Semi-Auto,1501,50.4,2
 3 Series,2020,35495,Semi-Auto,1501,47.1,3
 4 Series,2020,29995,Semi-Auto,1501,58.9,2
 4 Series,2020,30995,Semi-Auto,10,60.1,2
 2 Series,2016,18495,Manual,24452,60.1,2
 X3,2016,20995,Semi-Auto,26531,54.3,2
 3 Series,2015,15495,Manual,31468,61.4,2
 X3,2016,21600,Automatic,32330,47.9,3
 1 Series,2018,17850,Automatic,748,47.9,2
 X1,2017,18200,Manual,21695,58.9,2
 X7,2020,64995,Semi-Auto,1501,33.6,3
 X6,2019,54995,Semi-Auto,3455,34.9,3
 X1,2013,11995,Semi-Auto,64637,51.4,2
 X2,2019,27995,Semi-Auto,1501,50.4,2
 5 Series,2019,31995,Semi-Auto,1912,65.7,2
 4 Series,2019,34995,Semi-Auto,11,53.3,3
 X1,2019,27495,Semi-Auto,11,60.1,2
 X1,2019,26995,Semi-Auto,11,60.1,2
 1 Series,2018,15250,Automatic,11487,55.5,1.5
 2 Series,2017,15800,Automatic,51468,60.1,2
 2 Series,2015,13500,Manual,24621,47.9,2
 3 Series,2013,8995,Manual,32939,62.8,2
 2 Series,2018,19000,Semi-Auto,7680,39.2,1.5
 3 Series,2017,15300,Semi-Auto,16935,51.4,2
 X1,2017,14300,Manual,30533,68.9,2
 X1,2019,25995,Manual,1501,51.4,1.5
 3 Series,2020,30995,Semi-Auto,1501,42.2,2
 M4,2019,56995,Semi-Auto,1501,34,3
 3 Series,2020,30995,Semi-Auto,1501,52.3,2
 M4,2019,49995,Semi-Auto,1501,34,3
 4 Series,2019,28995,Semi-Auto,1501,65.7,2
 3 Series,2020,34995,Semi-Auto,11,49.6,2
 2 Series,2017,16498,Semi-Auto,22919,64.2,2
 X5,2018,37498,Automatic,25930,29.1,4.4
 3 Series,2019,26995,Semi-Auto,9907,52.3,2
 1 Series,2019,24995,Manual,1501,41.5,1.5
 2 Series,2019,27995,Semi-Auto,11,39.8,3
 1 Series,2017,20998,Semi-Auto,22018,39.8,3
 X1,2016,17998,Semi-Auto,45944,55.4,2
 2 Series,2015,10998,Semi-Auto,51719,68.9,2
 5 Series,2017,23500,Semi-Auto,27726,156.9,2
 X1,2014,10295,Semi-Auto,55000,56.5,2
 1 Series,2016,12995,Semi-Auto,33291,67.3,2
 5 Series,2018,25995,Semi-Auto,30418,60.1,3
 3 Series,2019,36995,Semi-Auto,3040,34.9,3
 1 Series,2017,15995,Semi-Auto,21469,70.6,2
 X5,2019,46995,Semi-Auto,5966,37.7,3
 X5,2019,52995,Semi-Auto,6326,37.7,3
 X5,2019,52995,Semi-Auto,6997,37.7,3
 X1,2016,19495,Semi-Auto,38267,44.8,2
 1 Series,2019,19495,Manual,7753,65.7,2
 2 Series,2017,16498,Semi-Auto,26335,64.2,2
 5 Series,2018,25998,Semi-Auto,7776,49.6,2
 1 Series,2018,17991,Manual,7100,37.2,1.5
 1 Series,2017,12495,Manual,44506,68.9,2
 7 Series,2019,59995,Semi-Auto,1501,41.5,3
 1 Series,2014,9991,Manual,49064,65.7,2
 1 Series,2016,11470,Manual,18802,83.1,1.5
 3 Series,2017,14590,Manual,34552,65.7,2
 3 Series,2016,17991,Semi-Auto,30100,53.3,3
 X4,2015,21437,Automatic,33289,47.9,3
 1 Series,2014,10540,Automatic,45263,64.2,2
 3 Series,2018,19998,Semi-Auto,23050,48.7,2
 X1,2020,29995,Semi-Auto,1501,50.4,2
 5 Series,2020,31995,Semi-Auto,1501,49.6,2
 4 Series,2020,27495,Semi-Auto,10,65.7,2
 4 Series,2020,27495,Semi-Auto,10,48.7,2
 X2,2020,31995,Semi-Auto,1501,61.4,2
 2 Series,2020,32995,Semi-Auto,1501,36.2,2
 8 Series,2020,59995,Semi-Auto,1501,31.7,3
 2 Series,2020,28995,Semi-Auto,1501,49.6,2
 5 Series,2016,21298,Semi-Auto,40120,47.9,3
 2 Series,2017,16498,Semi-Auto,12458,64.2,2
 1 Series,2017,20698,Automatic,20763,39.8,3
 2 Series,2017,13998,Manual,23541,68.9,1.5
 3 Series,2018,20998,Semi-Auto,23833,57.7,2
 3 Series,2017,18698,Semi-Auto,40841,64.2,2
 2 Series,2017,16498,Semi-Auto,22645,64.2,2
 1 Series,2015,11995,Semi-Auto,23484,64.2,2
 3 Series,2016,12950,Manual,59833,61.4,2
 4 Series,2017,16507,Automatic,26800,65.7,2
 3 Series,2019,27995,Semi-Auto,3751,52.3,2
 4 Series,2019,27995,Semi-Auto,1501,65.7,2
 X4,2019,33995,Semi-Auto,7141,42.8,2
 5 Series,2013,8997,Manual,82949,62.8,2
 3 Series,2016,16247,Automatic,28384,60.1,2
 5 Series,2016,16000,Semi-Auto,30070,62.8,2
 X4,2016,18860,Semi-Auto,75680,54.3,2
 X1,2016,17360,Semi-Auto,25710,65.7,2
 3 Series,2016,14050,Semi-Auto,45741,148.7,2
 5 Series,2015,14495,Automatic,35980,62.8,2
 4 Series,2016,16550,Semi-Auto,31125,46.3,2
 3 Series,2016,17250,Automatic,31561,134.5,2
 X5,2019,47995,Semi-Auto,4339,37.7,3
 1 Series,2020,23995,Manual,1501,57.7,1.5
 X7,2020,69995,Semi-Auto,1501,33.6,3
 1 Series,2015,15995,Semi-Auto,26629,60.1,2
 2 Series,2020,29995,Semi-Auto,1501,49.6,2
 X4,2020,44995,Semi-Auto,11,37.2,3
 Z4,2020,34995,Semi-Auto,1501,38.7,2
 5 Series,2017,21470,Semi-Auto,35138,62.8,2
 1 Series,2016,11497,Manual,52409,65.7,2
 3 Series,2015,14247,Automatic,51650,56.5,2
 2 Series,2019,23950,Semi-Auto,2918,49.6,2
 X3,2017,20950,Semi-Auto,30148,54.3,2
 X4,2020,44950,Semi-Auto,100,26.9,3
 5 Series,2019,36450,Semi-Auto,5700,51.4,3
 4 Series,2019,25450,Semi-Auto,9204,46.3,2
 X1,2017,14500,Manual,28205,68.9,2
 2 Series,2018,18991,Semi-Auto,1100,67.3,2
 3 Series,2017,17997,Automatic,28379,62.8,2
 X1,2018,18697,Automatic,45268,57.6,2
 3 Series,2014,11740,Manual,81838,57.6,2
 1 Series,2013,7991,Manual,49479,51.4,1.6
 2 Series,2017,16498,Semi-Auto,22056,64.2,2
 3 Series,2019,29950,Semi-Auto,4629,48.7,2
 1 Series,2019,30950,Semi-Auto,5453,34.5,2
 X6,2016,32950,Semi-Auto,44914,42.8,3
 2 Series,2019,22950,Semi-Auto,7477,47.9,2
 5 Series,2019,27950,Semi-Auto,9239,62.8,2
 1 Series,2017,15950,Manual,13261,70.6,1.5
 3 Series,2020,41950,Semi-Auto,8,33.6,3
 1 Series,2018,15950,Semi-Auto,17200,44.1,2
 X5,2015,28950,Automatic,36439,47.1,3
 X3,2020,34950,Semi-Auto,2500,54.3,2
 3 Series,2014,14950,Semi-Auto,66008,54.3,3
 3 Series,2020,37950,Semi-Auto,100,47.9,3
 X3,2019,34950,Semi-Auto,5492,54.3,2
 1 Series,2015,9985,Manual,43834,72.4,1.5
 3 Series,2017,18738,Semi-Auto,20422,60.1,2
 2 Series,2015,10691,Manual,41347,74.3,1.5
 X3,2013,12291,Semi-Auto,75395,50.4,2
 3 Series,2013,10991,Manual,68067,57.6,2
 1 Series,2016,14995,Semi-Auto,34700,67.3,2
 1 Series,2017,13495,Manual,25491,68.9,2
 3 Series,2017,18995,Automatic,49954,49.6,3
 1 Series,2014,9250,Manual,61490,50.4,1.6
 3 Series,2015,14950,Manual,44538,57.6,2
 2 Series,2020,35250,Semi-Auto,100,49.6,2
 1 Series,2019,19950,Semi-Auto,11686,48.7,2
 X5,2019,56450,Semi-Auto,4445,33.6,3
 X5,2019,52450,Semi-Auto,101,37.7,3
 2 Series,2017,16950,Semi-Auto,11569,53.3,1.5
 2 Series,2019,21950,Semi-Auto,15470,47.1,2
 3 Series,2015,17999,Semi-Auto,30760,56.5,3
 3 Series,2017,20799,Semi-Auto,19559,48.7,2
 4 Series,2018,21290,Automatic,3475,45.6,2
 1 Series,2017,13490,Manual,12312,53.3,1.5
 3 Series,2017,20400,Semi-Auto,28250,51.4,3
 1 Series,2019,19950,Semi-Auto,9119,54.3,1.5
 2 Series,2016,13950,Semi-Auto,35292,61.4,2
 1 Series,2017,17950,Semi-Auto,17988,61.4,2
 3 Series,2019,41450,Semi-Auto,423,34.9,3
 7 Series,2018,36450,Semi-Auto,17192,35.3,4.4
 X2,2019,27950,Semi-Auto,7419,58.9,2
 Z4,2019,31450,Semi-Auto,8626,38.7,2
 2 Series,2015,13450,Semi-Auto,21150,55.4,1.5
 1 Series,2014,14950,Semi-Auto,56355,37.7,3
 1 Series,2017,14950,Manual,9463,72.4,1.5
 3 Series,2017,15290,Semi-Auto,61610,48.7,2
 3 Series,2016,13240,Manual,23255,48.7,2
 4 Series,2017,16395,Semi-Auto,48360,65.7,2
 X3,2016,23450,Semi-Auto,23961,54.3,2
 X5,2017,34950,Automatic,32738,47.1,3
 2 Series,2020,19950,Manual,100,52.3,1.5
 5 Series,2019,32950,Semi-Auto,101,55.4,2
 5 Series,2019,30750,Semi-Auto,101,60.1,2
 5 Series,2019,31750,Semi-Auto,101,60.1,2
 4 Series,2019,28750,Semi-Auto,101,58.9,2
 3 Series,2018,27450,Semi-Auto,12521,41.5,3
 4 Series,2020,26950,Semi-Auto,2755,65.7,2
 1 Series,2020,27950,Manual,1638,41.5,1.5
 X1,2020,26950,Semi-Auto,811,40.9,1.5
 3 Series,2016,9250,Manual,79470,72.4,2
 2 Series,2017,16298,Semi-Auto,23388,64.2,2
 X5,2018,37498,Automatic,25160,29.1,4.4
 2 Series,2018,21998,Automatic,9566,113,1.5
 3 Series,2017,22798,Semi-Auto,16996,56.5,3
 1 Series,2019,20998,Semi-Auto,13942,60.1,2
 X1,2014,11298,Semi-Auto,33046,52.3,2
 Z4,2019,32950,Semi-Auto,8031,37.2,2
 1 Series,2019,19950,Semi-Auto,9859,67.3,2
 2 Series,2016,18990,Automatic,11854,55.4,2
 1 Series,2018,14980,Semi-Auto,20438,55.5,1.5
 M5,2015,24310,Semi-Auto,42932,28.5,4.4
 5 Series,2019,28450,Semi-Auto,101,50.4,2
 2 Series,2019,21950,Manual,2639,64.2,2
 X3,2019,32450,Semi-Auto,4125,54.3,2
 1 Series,2020,27950,Semi-Auto,100,51.4,2
 X1,2019,28950,Semi-Auto,3759,50.4,2
 2 Series,2018,24950,Semi-Auto,14835,32.5,3
 X5,2019,54750,Semi-Auto,18673,33.6,3
 5 Series,2019,36750,Semi-Auto,8027,51.4,3
 5 Series,2019,30950,Semi-Auto,3795,55.4,2
 3 Series,2019,30950,Semi-Auto,4112,49.6,2
 X3,2016,19950,Semi-Auto,42379,54.3,2
 2 Series,2019,24950,Automatic,5042,113,1.5
 1 Series,2019,16950,Semi-Auto,11794,72.4,1.5
 1 Series,2017,14030,Semi-Auto,40344,68.9,1.5
 1 Series,2017,13760,Manual,24389,65.7,2
 1 Series,2015,10430,Manual,29454,56.5,1.5
 4 Series,2019,28750,Semi-Auto,101,58.9,2
 X5,2019,49950,Semi-Auto,7220,37.7,3
 5 Series,2019,29950,Semi-Auto,4043,60.1,2
 1 Series,2018,14995,Semi-Auto,17000,67.3,2
 3 Series,2018,18695,Automatic,25876,64.2,2
 3 Series,2018,18157,Automatic,28438,62.8,2
 X1,2016,19100,Automatic,28785,57.6,2
 2 Series,2015,11837,Semi-Auto,27494,68.9,2
 4 Series,2017,18997,Semi-Auto,11328,48.7,2
 4 Series,2017,23497,Automatic,14584,50.4,3
 4 Series,2016,19950,Semi-Auto,37897,60.1,2
 M4,2019,44950,Semi-Auto,4931,34,3
 X2,2019,27950,Semi-Auto,7946,58.9,2
 1 Series,2020,32972,Semi-Auto,151,34.5,2
 X3,2018,30980,Semi-Auto,4813,54.3,2
 1 Series,2016,11891,Manual,69219,68.9,2
 5 Series,2018,24999,Automatic,24501,60.1,2
 4 Series,2017,19491,Automatic,22771,55.4,3
 1 Series,2015,11999,Manual,36339,62.8,2
 4 Series,2016,10999,Manual,93421,62.8,2
 3 Series,2020,28950,Semi-Auto,300,42.2,2
 Z4,2020,38950,Semi-Auto,100,33.2,3
 X3,2014,19950,Semi-Auto,23693,54.3,2
 1 Series,2019,21950,Manual,5013,44.1,1.5
 5 Series,2019,31950,Semi-Auto,1355,55.4,2
 2 Series,2015,13950,Semi-Auto,68787,57.6,2
 1 Series,2019,18950,Semi-Auto,15028,36.7,1.5
 1 Series,2019,16950,Semi-Auto,11137,72.4,1.5
 3 Series,2019,23450,Semi-Auto,11629,62.8,2
 1 Series,2019,19950,Semi-Auto,10102,48.7,2
 3 Series,2019,21450,Semi-Auto,14009,55.4,2
 3 Series,2019,21450,Semi-Auto,11706,55.4,2
 i3,2014,15450,Automatic,42479,470.8,0
 X5,2019,48950,Semi-Auto,8043,37.7,3
 X4,2019,34950,Semi-Auto,5763,42.8,2
 2 Series,2015,17541,Semi-Auto,26035,44.1,2
 X5,2013,26651,Automatic,47301,45.6,3
 3 Series,2016,18191,Semi-Auto,38882,134.5,2
 3 Series,2019,39020,Semi-Auto,7537,43.5,3
 1 Series,2017,14951,Semi-Auto,18852,70.6,2
 3 Series,2018,22021,Semi-Auto,26821,64.2,2
 5 Series,2019,36951,Semi-Auto,7218,46.3,2
 2 Series,2016,15950,Semi-Auto,43911,55.4,2
 8 Series,2019,56950,Semi-Auto,9731,39.8,3
 X3,2016,21950,Semi-Auto,45142,47.9,3
 2 Series,2019,20950,Manual,100,52.3,1.5
 2 Series,2020,22950,Manual,500,42.8,1.5
 X1,2020,29950,Semi-Auto,35,40.9,2
 1 Series,2019,18950,Semi-Auto,9079,47.9,1.5
 X5,2019,51950,Semi-Auto,101,37.7,3
 X3,2019,31950,Semi-Auto,7721,54.3,2
 X1,2019,26450,Semi-Auto,8643,50.4,2
 X5,2019,57950,Semi-Auto,4897,33.6,3
 4 Series,2018,24401,Semi-Auto,9049,58.9,2
 X2,2019,36451,Semi-Auto,2975,34,2
 M4,2017,34221,Semi-Auto,63660,32.5,3
 X2,2019,34910,Semi-Auto,4577,39.2,2
 X1,2019,32940,Semi-Auto,5642,37.7,2
 X6,2019,68300,Semi-Auto,3145,26.4,3
 M5,2019,89900,Semi-Auto,2269,24.1,4.4
 3 Series,2018,16950,Manual,19041,67.3,2
 3 Series,2020,28450,Semi-Auto,101,50.4,2
 2 Series,2019,20450,Manual,101,42.2,1.5
 1 Series,2016,13950,Semi-Auto,54205,68.9,1.5
 X3,2019,32509,Semi-Auto,9000,54.3,2
 X3,2019,37963,Semi-Auto,4786,48.7,3
 X2,2019,24543,Semi-Auto,3412,38.7,2
 4 Series,2016,13949,Automatic,70976,65.7,2
 1 Series,2017,16770,Automatic,22848,47.9,2
 X1,2016,18727,Automatic,16318,44.8,2
 5 Series,2015,10400,Manual,73227,61.4,2
 1 Series,2015,9890,Automatic,58283,64.2,2
 4 Series,2014,15050,Semi-Auto,26973,60.1,2
 4 Series,2019,34360,Semi-Auto,3986,51.4,3
 1 Series,2019,33150,Semi-Auto,4902,51.4,2
 6 Series,2019,41980,Semi-Auto,4028,42.2,2
 2 Series,2019,31410,Semi-Auto,3104,47.9,2
 X2,2019,29542,Semi-Auto,5564,39.8,2
 3 Series,2017,18741,Semi-Auto,27012,64.2,2
 X6,2016,30572,Semi-Auto,40246,44.8,3
 X7,2019,65520,Automatic,8574,33.6,3
 X1,2015,10912,Semi-Auto,82455,52.3,2
 4 Series,2019,27125,Semi-Auto,5046,65.7,2
 X3,2019,36203,Semi-Auto,3425,48.7,3
 X3,2018,32340,Semi-Auto,10488,48.7,3
 4 Series,2014,18712,Automatic,43116,50.4,3
 6 Series,2015,20172,Semi-Auto,37175,49.6,3
 7 Series,2019,45640,Automatic,7689,44.1,3
 8 Series,2019,64103,Semi-Auto,1897,39.8,3
 X6,2015,23162,Semi-Auto,55912,47.1,3
 X1,2017,23032,Semi-Auto,19340,57.6,2
 3 Series,2017,23481,Semi-Auto,33093,51.4,3
 1 Series,2019,25362,Semi-Auto,9503,39.8,3
 2 Series,2019,25660,Automatic,8092,39.8,3
 X1,2016,18211,Semi-Auto,52889,57.6,2
 1 Series,2016,12121,Manual,24516,72.4,1.5
 2 Series,2015,9852,Manual,43555,57.6,1.5
 3 Series,2013,12822,Manual,9276,44.8,2
 3 Series,2019,25842,Semi-Auto,4238,52.3,2
 X1,2018,22632,Semi-Auto,14852,60.1,2
 1 Series,2017,15381,Semi-Auto,74652,60.1,2
 1 Series,2015,13391,Semi-Auto,49394,64.2,2
 4 Series,2019,27591,Manual,5303,62.8,2
 2 Series,2019,24196,Semi-Auto,2421,47.9,2
 5 Series,2017,27152,Semi-Auto,66068,51.4,3
 4 Series,2018,21302,Automatic,17768,65.7,2
 4 Series,2017,20062,Semi-Auto,46674,55.4,3
 3 Series,2017,20498,Semi-Auto,22271,134.5,2
 1 Series,2016,11110,Manual,25073,83.1,1.5
 1 Series,2017,15870,Semi-Auto,28163,54.3,1.5
 1 Series,2017,14490,Manual,22137,70.6,1.5
 2 Series,2017,12999,Manual,42378,53.3,1.5
 X3,2013,15341,Semi-Auto,68729,50.4,2
 3 Series,2015,14051,Semi-Auto,68704,58.9,2
 4 Series,2016,19216,Automatic,25798,44.1,2
 5 Series,2018,33066,Automatic,5595,29.1,3
 M4,2019,58662,Automatic,3395,34,3
 5 Series,2017,21946,Automatic,38410,48.7,2
 4 Series,2015,17786,Automatic,45550,37.2,3
 4 Series,2019,22766,Automatic,5767,48.7,2
 X5,2019,48836,Automatic,4553,27.2,3
 3 Series,2013,12262,Semi-Auto,44125,62.8,2
 1 Series,2013,10372,Manual,33940,64.2,2
 X1,2019,22442,Manual,3991,51.4,1.5
 1 Series,2017,15672,Manual,20327,52.3,1.5
 X3,2019,31683,Semi-Auto,8524,30.4,2
 X3,2019,31903,Semi-Auto,7161,30.4,2
 3 Series,2016,12990,Semi-Auto,48788,74.3,2
 X1,2018,19300,Manual,15209,52.3,2
 1 Series,2016,15480,Automatic,30900,47.9,2
 2 Series,2016,12368,Manual,30243,50.4,1.5
 2 Series,2016,15490,Semi-Auto,36924,62.8,2
 1 Series,2017,12942,Manual,36274,70.6,1.5
 X5,2014,27498,Automatic,28056,26.9,4.4
 1 Series,2015,11933,Semi-Auto,19168,49.6,1.6
 4 Series,2018,19991,Semi-Auto,8018,44.1,2
 2 Series,2019,15630,Manual,20592,40.9,1.5
 2 Series,2017,20740,Manual,9885,36.2,3
